"n","Id","Name","Period","dim_IC_low","dim_ideology","dim_IC_high","wnom_ideology","bay_ic_low","bay_ideology","bay_ic_high","quant_parties","party_1","party_2","party_3","party_4","Sex","Birth_date"
"34",151,"Mario Escobar Urbina","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1952-03-09T00:00:00"
"35",151,"Mario Escobar Urbina","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1952-03-09T00:00:00"
"36",151,"Mario Escobar Urbina","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1952-03-09T00:00:00"
"37",155,"José Antonio Galilea Vidaurre","Periodo_1",0.0496117805474383,0.0123489820957179,-0.0249138163560025,0.591520965099335,0.46618010727253,0.521914944645413,0.565248882405297,1,"RN",NA,NA,NA,"Masculino","1961-11-19T00:00:00"
"38",155,"José Antonio Galilea Vidaurre","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-11-19T00:00:00"
"39",155,"José Antonio Galilea Vidaurre","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-11-19T00:00:00"
"40",155,"José Antonio Galilea Vidaurre","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-11-19T00:00:00"
"41",155,"José Antonio Galilea Vidaurre","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-11-19T00:00:00"
"42",155,"José Antonio Galilea Vidaurre","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-11-19T00:00:00"
"43",158,"Guido Girardi Lavín","Periodo_1",-0.505430961320409,-0.54269375977213,-0.57995655822385,-0.981692373752594,-1.10121624937698,-1.02813964840149,-0.955478985396064,1,"PPD",NA,NA,NA,"Masculino","1961-01-21T00:00:00"
"44",158,"Guido Girardi Lavín","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-01-21T00:00:00"
"45",158,"Guido Girardi Lavín","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-01-21T00:00:00"
"46",158,"Guido Girardi Lavín","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-01-21T00:00:00"
"47",158,"Guido Girardi Lavín","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-01-21T00:00:00"
"48",158,"Guido Girardi Lavín","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1961-01-21T00:00:00"
"49",159,"Rosa González Román","Periodo_1",0.141795901260303,0.104533102808583,0.0672703043568623,0.868344247341156,0.838825819696762,0.913262574424104,1.00655846744694,2,"IND","UDI",NA,NA,"Femenino","1942-07-23T00:00:00"
"50",159,"Rosa González Román","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1942-07-23T00:00:00"
"51",159,"Rosa González Román","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1942-07-23T00:00:00"
"52",159,"Rosa González Román","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1942-07-23T00:00:00"
"53",159,"Rosa González Román","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1942-07-23T00:00:00"
"54",159,"Rosa González Román","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1942-07-23T00:00:00"
"55",161,"María Pía Guzmán Mena","Periodo_1",-0.0108188689603869,-0.0480816674121073,-0.0853444658638277,0.524502336978912,0.455558418381091,0.491976048548189,0.533059366904209,1,"RN",NA,NA,NA,"Femenino","1957-06-23T00:00:00"
"56",161,"María Pía Guzmán Mena","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1957-06-23T00:00:00"
"57",161,"María Pía Guzmán Mena","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1957-06-23T00:00:00"
