Id,Name,Sex,Birth_date,dim_ideology_P1,dim_ideology_P2,dim_ideology_P3,dim_ideology_P4,dim_ideology_P5,dim_ideology_P6,dim_IC_low_P1,dim_IC_low_P2,dim_IC_low_P3,dim_IC_low_P4,dim_IC_low_P5,dim_IC_low_P6,dim_IC_high_P1,dim_IC_high_P2,dim_IC_high_P3,dim_IC_high_P4,dim_IC_high_P5,dim_IC_high_P6,wnom_ideology_P1,wnom_ideology_P2,wnom_ideology_P3,wnom_ideology_P4,wnom_ideology_P5,wnom_ideology_P6,bay_ideology_P1,bay_ideology_P2,bay_ideology_P3,bay_ideology_P4,bay_ideology_P5,bay_ideology_P6,bay_ic_low_P1,bay_ic_low_P2,bay_ic_low_P3,bay_ic_low_P4,bay_ic_low_P5,bay_ic_low_P6,bay_ic_high_P1,bay_ic_high_P2,bay_ic_high_P3,bay_ic_high_P4,bay_ic_high_P5,bay_ic_high_P6,party_1_P1,party_1_P2,party_1_P3,party_1_P4,party_1_P5,party_1_P6
74,Jaime Naranjo Ortiz,Masculino,1951-01-12T00:00:00,NA,NA,NA,NA,-0.638761040942748,-1.10001903172824,NA,NA,NA,NA,-0.668336246703293,-1.0716499048619,NA,NA,NA,NA,-0.609185835182204,-1.12838815859458,NA,NA,NA,NA,-0.659219980239868,-0.705552995204926,NA,NA,NA,NA,-0.720716509444946,-0.777243215931699,NA,NA,NA,NA,-0.676354548635916,-0.813728470406168,NA,NA,NA,NA,-0.781002000825575,-0.739332735599183,NA,NA,NA,NA,PS,PS
132,Francisco Bayo Veloso,Masculino,1933-03-13T00:00:00,-0.0325295096401217,NA,NA,NA,NA,NA,0.0047332888115987,NA,NA,NA,NA,NA,-0.0697923080918421,NA,NA,NA,NA,NA,0.487322628498077,NA,NA,NA,NA,NA,0.452789520572234,NA,NA,NA,NA,NA,0.417658420475803,NA,NA,NA,NA,NA,0.502501500702292,NA,NA,NA,NA,NA,RN,NA,NA,NA,NA,NA
137,Eliana Caraball Martínez,Femenino,1937-04-27T00:00:00,-0.788830132260118,NA,NA,NA,NA,NA,-0.751567333808398,NA,NA,NA,NA,NA,-0.826092930711838,NA,NA,NA,NA,NA,-0.829883754253387,NA,NA,NA,NA,NA,-0.675223685246311,NA,NA,NA,NA,NA,-0.715466386930866,NA,NA,NA,NA,NA,-0.627342029086961,NA,NA,NA,NA,NA,DC,NA,NA,NA,NA,NA
140,Patricio Cornejo Vidaurrázaga,Masculino,1942-10-17T00:00:00,-0.676589104693965,NA,NA,NA,NA,NA,-0.639326306242245,NA,NA,NA,NA,NA,-0.713851903145685,NA,NA,NA,NA,NA,-0.818617463111877,NA,NA,NA,NA,NA,-0.632305680229328,NA,NA,NA,NA,NA,-0.691981729535781,NA,NA,NA,NA,NA,-0.583067135755725,NA,NA,NA,NA,NA,DC,NA,NA,NA,NA,NA
150,Camilo Escalona Medina,Masculino,1955-06-15T00:00:00,-0.933316515759241,NA,NA,NA,NA,NA,-0.896053717307521,NA,NA,NA,NA,NA,-0.970579314210962,NA,NA,NA,NA,NA,-0.943007230758667,NA,NA,NA,NA,NA,-0.950451918255772,NA,NA,NA,NA,NA,-1.00356805297917,NA,NA,NA,NA,NA,-0.903246115299245,NA,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA
151,Mario Escobar Urbina,Masculino,1952-03-09T00:00:00,-0.0731752237783571,NA,NA,NA,NA,NA,-0.0359124253266367,NA,NA,NA,NA,NA,-0.110438022230078,NA,NA,NA,NA,NA,0.99882584810257,NA,NA,NA,NA,NA,1.30060280013907,NA,NA,NA,NA,NA,1.09793932179888,NA,NA,NA,NA,NA,1.46111057966596,NA,NA,NA,NA,NA,UDI,NA,NA,NA,NA,NA
155,José Antonio Galilea Vidaurre,Masculino,1961-11-19T00:00:00,0.0123489820957179,NA,NA,NA,NA,NA,0.0496117805474383,NA,NA,NA,NA,NA,-0.0249138163560025,NA,NA,NA,NA,NA,0.591520965099335,NA,NA,NA,NA,NA,0.521914944645413,NA,NA,NA,NA,NA,0.46618010727253,NA,NA,NA,NA,NA,0.565248882405297,NA,NA,NA,NA,NA,RN,NA,NA,NA,NA,NA
158,Guido Girardi Lavín,Masculino,1961-01-21T00:00:00,-0.54269375977213,NA,NA,NA,NA,NA,-0.505430961320409,NA,NA,NA,NA,NA,-0.57995655822385,NA,NA,NA,NA,NA,-0.981692373752594,NA,NA,NA,NA,NA,-1.02813964840149,NA,NA,NA,NA,NA,-1.10121624937698,NA,NA,NA,NA,NA,-0.955478985396064,NA,NA,NA,NA,NA,PPD,NA,NA,NA,NA,NA
159,Rosa González Román,Femenino,1942-07-23T00:00:00,0.104533102808583,NA,NA,NA,NA,NA,0.141795901260303,NA,NA,NA,NA,NA,0.0672703043568623,NA,NA,NA,NA,NA,0.868344247341156,NA,NA,NA,NA,NA,0.913262574424104,NA,NA,NA,NA,NA,0.838825819696762,NA,NA,NA,NA,NA,1.00655846744694,NA,NA,NA,NA,NA,IND,NA,NA,NA,NA,NA
161,María Pía Guzmán Mena,Femenino,1957-06-23T00:00:00,-0.0480816674121073,NA,NA,NA,NA,NA,-0.0108188689603869,NA,NA,NA,NA,NA,-0.0853444658638277,NA,NA,NA,NA,NA,0.524502336978912,NA,NA,NA,NA,NA,0.491976048548189,NA,NA,NA,NA,NA,0.455558418381091,NA,NA,NA,NA,NA,0.533059366904209,NA,NA,NA,NA,NA,RN,NA,NA,NA,NA,NA
